player,mvp,team,wins,yards,td,cmp%,int,qbr,year
Drew Brees,0,NOR,7,4952.0,33.0,69.2,17.0,74.8,2014
Ben Roethlisberger,0,PIT,11,4952.0,32.0,67.1,9.0,68.7,2014
Andrew Luck,0,IND,11,4761.0,40.0,61.7,16.0,62.6,2014
Peyton Manning,0,DEN,12,4727.0,39.0,66.2,15.0,72.0,2014
Matt Ryan,0,ATL,6,4694.0,28.0,66.1,14.0,68.4,2014
Eli Manning,0,NYG,6,4410.0,30.0,63.1,14.0,62.5,2014
Aaron Rodgers,0,GNB,12,4381.0,38.0,65.6,5.0,78.3,2014
Philip Rivers,0,SDG,9,4286.0,31.0,66.5,18.0,63.6,2014
Matthew Stafford,0,DET,11,4257.0,22.0,60.3,12.0,47.3,2014
Tom Brady,0,NWE,12,4109.0,33.0,64.1,9.0,76.2,2014
Ryan Tannehill,0,MIA,8,4045.0,27.0,66.4,12.0,59.3,2014
Joe Flacco,0,BAL,10,3986.0,27.0,62.1,12.0,68.2,2014
Jay Cutler,0,CHI,5,3812.0,28.0,66.0,18.0,51.8,2014
Tony Romo,0,DAL,12,3705.0,34.0,69.9,9.0,79.7,2014
Russell Wilson,0,SEA,12,3475.0,20.0,63.1,7.0,71.5,2014
Andy Dalton,0,CIN,10,3398.0,19.0,64.2,17.0,48.5,2014
Colin Kaepernick,0,SFO,8,3369.0,19.0,60.5,10.0,60.9,2014
Brian Hoyer,0,CLE,7,3326.0,12.0,55.3,13.0,38.4,2014
Derek Carr,0,OAK,3,3270.0,21.0,58.1,12.0,40.1,2014
Alex Smith,0,KAN,8,3265.0,18.0,65.3,6.0,51.7,2014
Cam Newton,0,CAR,5,3127.0,18.0,58.5,12.0,57.3,2014
Kyle Orton,0,BUF,7,3018.0,18.0,64.2,10.0,43.9,2014
Teddy Bridgewater,0,MIN,6,2919.0,14.0,64.4,12.0,54.4,2014
Blake Bortles,0,JAX,3,2908.0,11.0,58.9,17.0,26.7,2014
Geno Smith,0,NYJ,3,2525.0,13.0,59.7,13.0,45.9,2014
Ryan Fitzpatrick,0,HOU,6,2483.0,17.0,63.1,8.0,61.1,2014
Mark Sanchez,0,PHI,4,2418.0,14.0,64.1,11.0,57.5,2014
Josh McCown,0,TAM,1,2206.0,11.0,56.3,14.0,38.0,2014
Nick Foles,0,PHI,6,2163.0,13.0,59.8,10.0,64.1,2014
Austin Davis,0,STL,3,2001.0,12.0,63.4,9.0,44.2,2014
Drew Stanton,0,ARI,5,1711.0,7.0,55.0,5.0,51.7,2014
Kirk Cousins,0,WAS,1,1710.0,10.0,61.8,9.0,52.0,2014
