player,team,rush yards,rush td
Maurice Jones-Drew,JAX,1606,8
Michael Turner,ATL,1340,11
Ray Rice,BAL,1364,12
Marshawn Lynch,SEA,1204,12
Frank Gore,SFO,1211,8
Arian Foster,HOU,1224,10
Cedric Benson,CIN,1067,6
LeSean McCoy,PHI,1309,17
Chris Johnson,TEN,1047,4
Steven Jackson,STL,1145,5
Michael Bush,OAK,977,7
Shonn Greene,NYJ,1054,6
Willis McGahee,DEN,1199,4
Beanie Wells,ARI,1047,10
Rashard Mendenhall,PIT,928,9
Ryan Mathews,SDG,1091,6
Reggie Bush,MIA,1086,6
Adrian Peterson,MIN,970,12
Matt Forte,CHI,997,3
LeGarrette Blount,TAM,781,5
BenJarvus Green-Ellis,NWE,667,11
Ben Tate,HOU,942,4
Ahmad Bradshaw,NYG,659,9
Fred Jackson,BUF,934,6
Daniel Thomas,MIA,581,0
DeMarco Murray,DAL,897,2
Peyton Hillis,CLE,587,3
DeAngelo Williams,CAR,836,7
Thomas Jones,KAN,478,0
Brandon Jacobs,NYG,571,7
Roy Helu,WAS,640,2
Jackie Battle,KAN,597,2
Jonathan Stewart,CAR,761,4
Donald Brown,IND,645,5
Ryan Grant,GNB,559,2
James Starks,GNB,578,1
Felix Jones,DAL,575,1
Cam Newton,CAR,706,14
Mark Ingram,NOR,474,5
Tim Tebow,DEN,660,6
Mike Tolbert,SDG,490,8
Joseph Addai,IND,433,1
Marion Barber III,CHI,422,6
Dexter McCluster,KAN,516,1
Darren McFadden,OAK,614,4
Kendall Hunter,SFO,473,2
Bernard Scott,CIN,380,3
Isaac Redman,PIT,479,3
Pierre Thomas,NOR,562,5
Toby Gerhart,MIN,531,1
Ricky Williams,BAL,444,2
C.J. Spiller,BUF,561,4
Delone Carter,IND,377,2
Lance Ball,DEN,402,1
Montario Hardesty,CLE,266,0
Stevan Ridley,NWE,441,1
Darren Sproles,NOR,603,2
Cadillac Williams,STL,361,1
Jahvid Best,DET,390,2
Tim Hightower,WAS,321,1
Maurice Morris,DET,316,1
Kahlil Bell,CHI,337,0
Chris Ivory,NOR,374,1
Danny Woodhead,NWE,351,1
Chris Ogbonnaya,2TM,340,1
Michael Vick,PHI,589,1
LaDainian Tomlinson,NYJ,280,1
Kevin Smith,DET,356,4
Deji Karim,JAX,130,0
Colt McCoy,CLE,212,0
Aaron Rodgers,GNB,257,3
Javon Ringer,TEN,185,1
Ryan Torain,WAS,200,1
Keiland Williams,DET,195,2
Tashard Choice,3TM,152,1
Jacquizz Rodgers,ATL,205,1
Ryan Fitzpatrick,BUF,215,0
Evan Royster,WAS,328,0
Josh Freeman,TAM,238,4
Leon Washington,SEA,248,1
Percy Harvin,MIN,345,2
Alex Smith,SFO,179,2
Blaine Gabbert,JAX,98,0
Justin Forsett,SEA,145,1
Danny Ware,NYG,163,0
Derrick Ward,HOU,154,2
Jason Snelling,ATL,151,0
Tom Brady,NWE,109,3
Joe McKnight,NYJ,134,0
LaRod Stephens-Howling,ARI,167,0
