player,mvp,team,wins,yards,td,cmp%,int,qbr,year
Drew Brees,0,NOR,7,4870.0,32.0,68.3,11.0,66.8,2015
Philip Rivers,0,SDG,4,4792.0,29.0,66.1,13.0,57.3,2015
Tom Brady,0,NWE,12,4770.0,36.0,64.4,7.0,68.4,2015
Carson Palmer,0,ARI,13,4671.0,35.0,63.7,11.0,76.4,2015
Matt Ryan,0,ATL,8,4591.0,21.0,66.3,16.0,64.1,2015
Eli Manning,0,NYG,6,4432.0,35.0,62.6,14.0,57.9,2015
Blake Bortles,0,JAX,5,4428.0,35.0,58.6,18.0,51.4,2015
Matthew Stafford,0,DET,7,4262.0,32.0,67.2,13.0,58.3,2015
Ryan Tannehill,0,MIA,6,4208.0,24.0,61.9,12.0,45.6,2015
Kirk Cousins,0,WAS,9,4166.0,29.0,69.8,11.0,67.8,2015
Jameis Winston,0,TAM,6,4042.0,22.0,58.3,15.0,57.2,2015
Russell Wilson,0,SEA,10,4024.0,34.0,68.1,8.0,68.6,2015
Derek Carr,0,OAK,7,3987.0,32.0,61.1,13.0,43.1,2015
Ben Roethlisberger,0,PIT,7,3938.0,21.0,68.0,16.0,72.8,2015
Ryan Fitzpatrick,0,NYJ,10,3905.0,31.0,59.6,15.0,62.0,2015
Cam Newton,0,CAR,15,3837.0,35.0,59.8,10.0,61.4,2015
Aaron Rodgers,0,GNB,10,3821.0,31.0,60.7,8.0,60.0,2015
Sam Bradford,0,PHI,7,3725.0,19.0,65.0,14.0,39.2,2015
Jay Cutler,0,CHI,6,3659.0,21.0,64.4,11.0,61.0,2015
Alex Smith,0,KAN,11,3486.0,20.0,65.3,7.0,61.1,2015
Andy Dalton,0,CIN,10,3250.0,25.0,66.1,7.0,72.5,2015
Teddy Bridgewater,0,MIN,11,3231.0,14.0,65.3,9.0,57.7,2015
Tyrod Taylor,0,BUF,7,3035.0,20.0,63.7,6.0,66.3,2015
Marcus Mariota,0,TEN,3,2818.0,19.0,62.2,10.0,48.4,2015
Joe Flacco,0,BAL,3,2791.0,14.0,64.4,12.0,50.8,2015
Brian Hoyer,0,HOU,5,2606.0,19.0,60.7,7.0,52.8,2015
Peyton Manning,0,DEN,7,2249.0,9.0,59.8,17.0,44.2,2015
Josh McCown,0,CLE,1,2109.0,12.0,63.7,4.0,52.9,2015
Nick Foles,0,STL,4,2052.0,7.0,56.4,10.0,28.9,2015
Blaine Gabbert,0,SFO,3,2031.0,10.0,63.1,7.0,37.6,2015
Brock Osweiler,0,DEN,5,1967.0,10.0,61.8,6.0,54.9,2015
Andrew Luck,0,IND,2,1881.0,15.0,55.3,12.0,52.4,2015
