player,team,rush yards,rush td
Marcus Mariota,LVR,35,0
Raheem Mostert,SFO,20,0
Dare Ogunbowale,JAX,3,0
Jacques Patrick,SFO,12,0
Nathan Peterman,LVR,2,0
Michael Pittman Jr.,IND,8,0
Kalif Raymond,DET,10,0
Jalen Reagor,PHI,12,0
Mekhi Sargent,TEN,4,0
Johnny Stanton,CLE,5,0
Kadarius Toney,NYG,8,0
Tommy Tremble,CAR,7,1
Cedrick Wilson Jr.,DAL,11,0
John Wolford,LAR,-1,0
Jordan Akins,HOU,3,0
Robby Anderson,CAR,3,0
Blake Bell,KAN,2,0
C.J. Board,NYG,6,0
Gary Brightwell,NYG,4,0
A.J. Brown,TEN,3,0
Antonio Brown,TAM,6,0
Dyami Brown,WAS,-4,0
Marquise Brown,BAL,5,0
Rex Burkhead,HOU,-1,0
Ja'Marr Chase,CIN,-2,0
Randall Cobb,GNB,1,0
Brandin Cooks,HOU,5,0
Jaelon Darden,TAM,11,0
Ashton Dulin,IND,-7,0
Eric Ebron,PIT,1,1
Evan Engram,NYG,-3,0
Zach Ertz,2TM,4,0
Gerald Everett,SEA,12,0
Ryan Fitzpatrick,WAS,2,0
Feleipe Franks,ATL,3,0
Jake Funk,LAR,6,0
Jamie Gillan,CLE,0,0
Chris Godwin,TAM,2,1
Deonte Harris,NOR,1,0
Johnny Hekker,LAR,0,0
Chad Henne,KAN,4,0
Diontae Johnson,PIT,25,0
Marcus Johnson,TEN,5,0
Christian Kirk,ARI,11,0
George Kittle,SFO,9,0
Cole Kmet,CHI,0,0
Cooper Kupp,LAR,-5,0
Darnell Mooney,CHI,10,0
C.J. Moore,DET,28,0
Elijah Moore,NYJ,19,1
Gabe Nabers,LAC,2,0
K.J. Osborn,MIN,10,0
Devine Ozigbo,NOR,-3,0
Patrick Ricard,BAL,2,0
Chester Rogers,TEN,9,0
Curtis Samuel,WAS,8,0
Emmanuel Sanders,BUF,7,0
Sterling Shepard,NYG,-9,0
Cam Sims,WAS,7,0
Shi Smith,CAR,-3,0
Equanimeous St. Brown,GNB,13,0
Kenny Stills,NOR,1,0
Adam Thielen,MIN,2,0
Jaylen Waddle,MIA,2,0
Phillip Walker,CAR,13,0
Dwayne Washington,NOR,5,0
Preston Williams,MIA,7,0
Logan Woodside,TEN,-1,0
